evens;i;i <= 20;i % 2 === 0;evens.push(i);i++;return evens
[ ];?;?;?;?;?;?
[ ];1;1 <= 20 = TRUE;?;?;?;?
[ ];1;TRUE;1 % 2 === 0 -> FALSE;?;?;?
[ ];1;TRUE;FALSE;?;?;?
[ ];1;TRUE;FALSE;?;2;?
[ ];2;2 <= 20 TRUE;?;?;?;?
[ ];2;TRUE;2 % 2 === 0 -> TRUE;?;?;?
[ ];2;TRUE;TRUE;evens.push(2);?;?
[2];2;TRUE;TRUE;?;?;?
[2];2;TRUE;TRUE;?;3;?
[2];3;3 <= 20 = TRUE;?;?;?;?
[2];3;TRUE;3 % 2 === 0 -> FALSE;?;?;?
[2];3;TRUE;FALSE;?;4;?
[2];4;4 <= 20 = TRUE;?;?;?;?
[2];4;TRUE;4 % 2 === 0 -> TRUE;?;?;?
[2];4;TRUE;TRUE;evens.push(4);?;?
[2, 4];4;TRUE;TRUE;?;?;?
[2, 4];4;TRUE;TRUE;?;5;?
...;...;...;...;...;...;...
[2, 4, 6, 8, 10, 12, 14, 16, 18];20;20 <= 20 = TRUE;?;?;?;?
[2, 4, 6, 8, 10, 12, 14, 16, 18];20;TRUE;20 % 2 === 0 -> TRUE;?;?;?
[2, 4, 6, 8, 10, 12, 14, 16, 18];20;TRUE;TRUE;evens.push(20);?;?
[2, 4, 6, 8, 10, 12, 14, 16, 18, 20];20;"TRUE ";TRUE;?;?;?
[2, 4, 6, 8, 10, 12, 14, 16, 18, 20];20;TRUE;TRUE;?;21;?
[2, 4, 6, 8, 10, 12, 14, 16, 18, 20];21;21 <= 20 = FALSE;?;?;?;?
[2, 4, 6, 8, 10, 12, 14, 16, 18, 20];?;?;?;?;?;[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]
