odds;i;i <= 20;i % 2 !== 0;odds.push(i);i++;return odds
[ ];?;?;?;?;?;?
[ ];1;?;?;?;?;?
[ ];1;1 <= 20 = TRUE;?;?;?;?
[ ];1;TRUE;1 % 2 !== 0 -> TRUE;?;?;?
[ ];1;TRUE;TRUE;odds.push(1);?;?
[1];1;TRUE;TRUE;?;?;?
[1];1;TRUE;TRUE;?;2;?
[1];2;2 <= 20 = TRUE;?;?;?;?
[1];2;TRUE;2 % 2 !== 0 -> FALSE;?;?;?
[1];2;TRUE;FALSE;?;?;?
[1];2;TRUE;FALSE;?;3;?
[1];3;3 <= 20 = TRUE;3 % 2 !== 0 -> TRUE;?;?;?
[1];3;TRUE;TRUE;odds.push(3);?;?
[1, 3];3;TRUE;TRUE;?;?;?
[1, 3];3;TRUE;TRUE;?;4;?
[1, 3];4;4 <= 20 = TRUE;?;?;?;?
[1, 3];4;TRUE;4 % 2 !== 0 -> FALSE;?;?;?
[1, 3];4;TRUE;FALSE;?;5;?
...;...;...;...;...;...;...
[1, 3, 5, 7, 9, 11, 13, 15, 17, 19];20;20 <= 20 = TRUE;...;?;...;...
[1, 3, 5, 7, 9, 11, 13, 15, 17, 19];20;TRUE;20 % 2 !== 0 -> FALSE;?;...;...
[1, 3, 5, 7, 9, 11, 13, 15, 17, 19];20;TRUE;FALSE;?;21;?
[1, 3, 5, 7, 9, 11, 13, 15, 17, 19];21;21 <= 20 -> FALSE;?;?;?;?
[1, 3, 5, 7, 9, 11, 13, 15, 17, 19];?;?;?;?;?;[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]
